node_n_id,released,tagline,title
Movie_97,1992,"It's a hell of a thing, killing a man",Unforgiven
Movie_95,1996,Come as you are,The Birdcage
Movie_92,2006,Based on the extraordinary true story of one man's fight for freedom,RescueDawn
Movie_9,2003,Free your mind,The Matrix Reloaded
Movie_87,2000,"Pain heals, Chicks dig scars... Glory lasts forever",The Replacements
Movie_85,1996,In every life there comes a time when that thing you dream becomes that thing you do,That Thing You Do
Movie_81,1998,Can two friends sleep together and still love each other in the morning?,When Harry Met Sally
Movie_78,1990,"A story of love, lava and burning desire.",Joe Versus the Volcano
Movie_73,1993,"What if someone you never met, someone you never saw, someone you never knew was the only someone for you?",Sleepless in Seattle
Movie_67,1998,At odds in life... in love on-line.,You've Got Mail
Movie_62,1999,First loves last. Forever.,Snow Falling on Cedars
Movie_56,1998,After life there is more. The end is just the beginning.,What Dreams May Come
Movie_52,1997,A comedy from the heart that goes for the throat.,As Good as It Gets
Movie_46,1986,"For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of.",Stand By Me
Movie_4,1999,Welcome to the Real World,The Matrix
Movie_37,2000,The rest of his life begins now.,Jerry Maguire
Movie_29,1986,"I feel the need, the need for speed.",Top Gun
Movie_162,1992,Once in a lifetime you get a chance to do something different.,A League of Their Own
Movie_161,2004,This Holiday Season... Believe,The Polar Express
Movie_159,2007,A stiff drink. A little mascara. A lot of nerve. Who said they couldn't bring down the Soviet empire.,Charlie Wilson's War
Movie_157,1999,One robot's 200 year journey to become an ordinary man.,Bicentennial Man
Movie_154,2003,,Something's Gotta Give
Movie_152,1975,"If he's crazy, what does that make you?",One Flew Over the Cuckoo's Nest
Movie_150,2000,"At the edge of the world, his journey begins.",Cast Away
Movie_15,1992,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth.",A Few Good Men
Movie_147,1996,Don't Breathe. Don't Look Back.,Twister
Movie_144,1995,"Houston, we have a problem.",Apollo 13
Movie_141,1992,He didn't want law. He wanted justice.,Hoffa
Movie_137,2008,400 million people were waiting for the truth.,Frost/Nixon
Movie_130,1999,Walk a mile you'll never forget.,The Green Mile
Movie_128,2009,Prepare to enter a secret world of assassins,Ninja Assassin
Movie_121,2008,Speed has no limits,Speed Racer
Movie_116,2006,Freedom! Forever!,V for Vendetta
Movie_111,2006,Break The Codes,The Da Vinci Code
Movie_11,1997,Evil has its winning ways,The Devil's Advocate
Movie_105,2012,Everything is connected,Cloud Atlas
Movie_100,1995,The hottest data on earth. In the coolest head in town,Johnny Mnemonic
Movie_10,2003,Everything that has a beginning has an end,The Matrix Revolutions
